File Name,	 vector,	 SM Loc (X), 	 SM Loc (Y), 	 SM Loc (Z), 	 L*,	 converged L*,	 Convergence Lines 	, tol
../../../unit_tests/test_data/WHISingle.vts,	B,	-2.58045458794,	0.0,	0.0,	2.54384752168,	2.55477238607,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-3.01127386093,	0.0,	0.0,	3.01016057373,	3.01177873469,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	-3.47506761551,	0.0,	0.0,	3.4333658709,	3.43789101977,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	2.55853509903,	0.0,	0.0,	2.5295029664,	2.5364016497,	8.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	2.95102453232,	0.0,	0.0,	2.92457374662,	2.93810274288,	8.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	3.35292863846,	0.0,	0.0,	3.33128370429,	3.33182002882,	8.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	2.55853509903,	0.173888757825,	0.0579664893448,	2.53983309362,	2.54517506552,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	2.95102334023,	0.200573995709,	0.066862128675,	2.9374037515,	2.95115610069,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	3.35292983055,	0.223303571343,	0.0744391232729,	3.34701559076,	3.36023329118,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	2.50640964508,	0.51713103056,	0.172387629747,	2.52771153618,	2.53644412708,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	2.891466856,	0.596607506275,	0.198881417513,	2.93109896015,	2.92849804532,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	3.28867554665,	0.66483104229,	0.221624031663,	3.32877878436,	3.32399402658,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	2.40448498726,	0.847145617008,	0.282399296761,	2.5377471108,	2.54003528239,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	2.77505874634,	0.977765202522,	0.325941830873,	2.93546207139,	2.93076162573,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	3.16283226013,	1.09150540829,	0.36385756731,	3.33815355391,	3.35010080686,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	2.25701069832,	1.15622591972,	0.385432362556,	2.56378127512,	2.55811053424,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	2.60659122467,	1.33539628983,	0.445159584284,	2.93356889157,	2.93368214798,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	2.97991704941,	1.49450838566,	0.498200178146,	3.3754351993,	3.36121500957,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	2.06959462166,	1.4380774498,	0.479388684034,	2.58082757843,	2.57465657682,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	2.39222121239,	1.66237211227,	0.554158270359,	2.98753740765,	2.98606030933,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	2.74551391602,	1.86632347107,	0.622146189213,	3.39442558946,	3.37857115867,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	1.84870135784,	1.68807578087,	0.562726736069,	2.61043856243,	2.60355403711,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	2.1390941143,	1.95338213444,	0.65116751194,	2.98610803756,	2.99208813937,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	2.46629405022,	2.20096087456,	0.733698785305,	3.41821133083,	3.42144459603,	9.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	1.60101509094,	1.90329897404,	0.634472191334,	2.61192302956,	2.61311317584,	8.0,	1.0
../../../unit_tests/test_data/WHISingle.vts,	B,	1.85464417934,	2.20499539375,	0.73504370451,	3.02511627404,	3.01387840587,	9.0,	1.0
